Index,Name,Overall_Rating,Cuisine,Rate for two,City,Review,sentiment
38,Wagh Bakri Tea Lounge,4.0,"Cafe, Beverages, Fast Food, Desserts, Tea","1,000",ahmedabad,nice packing food,positive
39,Wagh Bakri Tea Lounge,4.0,"Cafe, Beverages, Fast Food, Desserts, Tea","1,000",ahmedabad,taking way guy bad zomato customer,positive
40,Rasa Restro Cafe,4.1,"Cafe, North Indian, Italian, Mexican, Thai, Biryani, Desserts, Beverages","1,100",ahmedabad,add creamy gravy pasto pasta pasta gravy,positive
41,Indie Brewed Cafe,3.9,"Cafe, Coffee, Shake, Beverages, Fast Food",500,ahmedabad,bad iced americanodon order,neutral
42,Indie Brewed Cafe,3.9,"Cafe, Coffee, Shake, Beverages, Fast Food",500,ahmedabad,ordered thrice love offer price reasonable shifted sindhu bhavan road opposite alpha mall order without second thought,neutral
43,Indie Brewed Cafe,3.9,"Cafe, Coffee, Shake, Beverages, Fast Food",500,ahmedabad,ice peach iced tea fact even cold,neutral
44,Aarambh Cafe,,"Cafe, Coffee, South Indian, Street Food",500,ahmedabad,nestled within cee campus thaltej area ahmedabad café aarambh offers tranquil serene ambience providing respite hustle bustle city café remains relatively unknown many city dwellers peaceful atmosphere makes hidden gem worth comes culinary aspect café aarambh falls short expectations food offerings unfortunately match serene ambience taste dishes rather average leaving much desired especially considering price one pays limited food options available might disappoint looking diverse range read,neutral
45,Oven The Bakery & Cafe,3.4,"Cafe, Bakery, Waffle, Desserts, Beverages",850,ahmedabad,extreme oily veg puff fresh,neutral
46,Oven The Bakery & Cafe,3.4,"Cafe, Bakery, Waffle, Desserts, Beverages",850,ahmedabad,cake stale box smell coming,neutral
47,Oven The Bakery & Cafe,3.4,"Cafe, Bakery, Waffle, Desserts, Beverages",850,ahmedabad,good place vouch cheesecakes cheat first dine price cheesecake zomato show zomato gold would refuse pay saying zomato discount menu see dining page first photo cheesecake hypocrisy love cheesecakes like cheaters go,neutral
48,Sphere Lounge - Hotel Ramada,4.2,"Cafe, North Indian, Chinese, Fast Food, Italian, Street Food, Sandwich, Panini",950,ahmedabad,must visit,positive
49,Sphere Lounge - Hotel Ramada,4.2,"Cafe, North Indian, Chinese, Fast Food, Italian, Street Food, Sandwich, Panini",950,ahmedabad,expensive agli oily pasta good portion size small highly recommend order place,positive
50,Smash Cafe,4.1,"Cafe, Fast Food, North Indian, Beverages",600,ahmedabad,excellent food menu extensive seasonal particularly high standard highly recommended,positive
51,Brewers - The Coffee Bar,3.9,"Cafe, Fast Food, Italian, North Indian, Mexican, Street Food, Salad, Beverages",350,ahmedabad,half coffee spilled bag,neutral
52,Brewer Cafe & Restro,3.1,"Cafe, Pizza, Burger, Sandwich, Fast Food, Desserts, Beverages",600,ahmedabad,due unavailability order replaced burger also good aloo tikki burger bun pan ghee per taste tikki felt like frozen tikki proper amount sauces,neutral
53,Brewer Cafe & Restro,3.1,"Cafe, Pizza, Burger, Sandwich, Fast Food, Desserts, Beverages",600,ahmedabad,extremely less quantity according price one person cooking serving everything thus long waiting time,neutral
54,Brewer Cafe & Restro,3.1,"Cafe, Pizza, Burger, Sandwich, Fast Food, Desserts, Beverages",600,ahmedabad,worst,neutral
55,Cafe Catchers,3.3,"Cafe, Shake, Beverages, Chinese, Italian, Mexican, Fast Food, North Indian",900,ahmedabad,order regret,neutral
56,Cafe Catchers,3.3,"Cafe, Shake, Beverages, Chinese, Italian, Mexican, Fast Food, North Indian",900,ahmedabad,recently visited newly opened place near vastrapur try food tried special mocktail maxican sizzler stuffed mushroom sizzling hot brownie food delicious freshly made discount bogo offers going january month must check take benefits,neutral
57,Cafe Catchers,3.3,"Cafe, Shake, Beverages, Chinese, Italian, Mexican, Fast Food, North Indian",900,ahmedabad,best food thai excellent well punjabi must visit place foodies nice cozy place sit friends family,neutral
58,Cafe Catchers,3.3,"Cafe, Shake, Beverages, Chinese, Italian, Mexican, Fast Food, North Indian",900,ahmedabad,place visit food lovers ahmedabad appealing vibe place delicious food one best north indian food hadalso wide range cuisines available along unique starters indian italian mexican cuisinedo visit place friends familymy recommendationthai curry herb ricecheese balls,neutral
59,Shambhu's Coffee Bar,3.3,"Cafe, Shake, Beverages, Sandwich, Pizza, Fast Food, Desserts",500,ahmedabad,went second time husband ordered dark fantasy brownie coffee thik shakes good taste amazing regular taste ambience also average indoor well outdoor sitting much maintained even gpay working shocking downside,neutral
60,Vince Cafe,3.9,"Cafe, Beverages, Fast Food, Shake, Sandwich, Chinese",450,ahmedabad,good vibes cafe liked food quality beverages good worth trying open cafe good music sometimes events,neutral
61,Vince Cafe,3.9,"Cafe, Beverages, Fast Food, Shake, Sandwich, Chinese",450,ahmedabad,avoid visiting degrading creep hyped somehow totally avoid,neutral
62,Vince Cafe,3.9,"Cafe, Beverages, Fast Food, Shake, Sandwich, Chinese",450,ahmedabad,super friendly place best interior design spacious enough accommodate many time love vibe creates amazing items menu best nightlife ahmedabad,neutral
63,Cafe Selfie,3.9,"Cafe, Beverages, Shake, Fast Food",500,ahmedabad,vary small,neutral
64,Cafe Selfie,3.9,"Cafe, Beverages, Shake, Fast Food",500,ahmedabad,good fresh staff members,neutral
65,Cafe Selfie,3.9,"Cafe, Beverages, Shake, Fast Food",500,ahmedabad,nice place food specially location nice shakes awesome food superb inform everyone visit place onces,neutral
66,Chai Hai Na,3.6,"Cafe, Fast Food, Street Food, Beverages",550,ahmedabad,know original taste badam chai missing since last days sure wrong,neutral
67,Chai Hai Na,3.6,"Cafe, Fast Food, Street Food, Beverages",550,ahmedabad,badam shake good bad taste must improve,neutral
68,Busy Beans,3.9,"Cafe, Beverages, Fast Food",500,ahmedabad,pure coffee beans test delicious good quality packaging must try blueberry orea shake coffee lover order hazelnut cold coffee,neutral
69,58 Cafe House,,"Cafe, Coffee, Fast Food, Beverages",500,ahmedabad,sugarless coffee send sugar totally wasted money,neutral
70,58 Cafe House,,"Cafe, Coffee, Fast Food, Beverages",500,ahmedabad,nice food,neutral
71,58 Cafe House,,"Cafe, Coffee, Fast Food, Beverages",500,ahmedabad,worst chess used look like wee eat aata,neutral
72,Drunch,3.5,"Cafe, Coffee, Shake, Beverages, Pasta, Fast Food, Momos, Chinese",700,ahmedabad,refusing accept payment zomato bill value wad rupees cafe owner saying bill value fore making payment zomato really condition right,neutral
73,Drunch,3.5,"Cafe, Coffee, Shake, Beverages, Pasta, Fast Food, Momos, Chinese",700,ahmedabad,perfect open air cafe ahmedabad live ipl screening everyday refreshing mocktails tried mocktails pizza pasta bowl food delicious quality also amazing different different sitting arrangements perfect place plan date hangout friends,neutral
74,Cafe Cos,,"Cafe, Coffee, Tea, Sandwich, Burger, Salad, Healthy Food, Beverages",750,ahmedabad,coffee watery tasteless,neutral
75,Cafe Cos,,"Cafe, Coffee, Tea, Sandwich, Burger, Salad, Healthy Food, Beverages",750,ahmedabad,searching cafe offers delicious healthy alternatives traditional pizza pasta look recently pleasure visiting healthy cafe prides using multigrain whole wheat ingredients pizza pasta dishes must say thoroughly impressed quality food commitment healthier options detailed review ambiance cafe cozy inviting atmosphere modern yet warm decor use natural materials earthy colors created pleasant dining environment seating arrangements comfortable staff friendly attentive making read,neutral
76,Cafe Cos,,"Cafe, Coffee, Tea, Sandwich, Burger, Salad, Healthy Food, Beverages",750,ahmedabad,brocoli soup previously restaurant today taste totally salt pepper time taste salty due much black pepper made spicy,neutral
77,Creamoholic Cafe,,"Cafe, Coffee, Pizza, Burger, Fast Food, Desserts, Beverages",500,ahmedabad,superb quality freshly made,neutral
78,Creamoholic Cafe,,"Cafe, Coffee, Pizza, Burger, Fast Food, Desserts, Beverages",500,ahmedabad,superb experience better cafe bet shakes cold coffee tried dine also food ambiance unmatched recommend cold coffee shake periperi fries also taste pizza sandwich burger average best taste,neutral
79,Creamoholic Cafe,,"Cafe, Coffee, Pizza, Burger, Fast Food, Desserts, Beverages",500,ahmedabad,garlic bread perfection garlic bread wonderful addition meal delivery quick bread arrived fresh aromatic,neutral
80,Creamoholic Cafe,,"Cafe, Coffee, Pizza, Burger, Fast Food, Desserts, Beverages",500,ahmedabad,hub chilli burger fiery treat taste buds delivery quick burger spicy patty along fresh lettuce created perfect balance flavors,neutral
81,Shambhus Cafe,,"Cafe, Fast Food",700,ahmedabad,way taste different compared prahladnagar garden cafe bogus literally iced crush coming n last choclate topping also bad older one,neutral
82,Shiva's Coffee Bar,,"Cafe, Mexican, Pizza, South Indian, Chinese, Fast Food, Beverages, Coffee",700,ahmedabad,wrong food item delivered,neutral
83,Shiva's Coffee Bar,,"Cafe, Mexican, Pizza, South Indian, Chinese, Fast Food, Beverages, Coffee",700,ahmedabad,nice loved,neutral
84,Shiva's Coffee Bar,,"Cafe, Mexican, Pizza, South Indian, Chinese, Fast Food, Beverages, Coffee",700,ahmedabad,good,neutral
85,Food Costa,,"Cafe, Coffee, Sandwich, Pizza, Burger, Fast Food, Shake, Beverages",650,ahmedabad,food packing pathetic,neutral
86,Food Costa,,"Cafe, Coffee, Sandwich, Pizza, Burger, Fast Food, Shake, Beverages",650,ahmedabad,worth cost taste completely bland green capsicum onion,neutral
87,Food Costa,,"Cafe, Coffee, Sandwich, Pizza, Burger, Fast Food, Shake, Beverages",650,ahmedabad,quality veryyy veryyyy bad never order,neutral
88,Cafe After Hours,,"Cafe, Coffee, Shake, Beverages, Italian, Fast Food, Chinese, North Indian",500,ahmedabad,said medium spicy please spicy meaning giving cooking instruction really upsetting situation,neutral
89,Cafe After Hours,,"Cafe, Coffee, Shake, Beverages, Italian, Fast Food, Chinese, North Indian",500,ahmedabad,awesome food packaging,neutral
90,Edr Cafe,,"Cafe, Italian, Fast Food, Beverages, Shake",350,ahmedabad,went food bit costly asked jamun shots manager replied seasonal bhai jamun ki season chal rhi didnt argue n left,neutral
91,Edr Cafe,,"Cafe, Italian, Fast Food, Beverages, Shake",350,ahmedabad,worst cafe ahmedabad sure,neutral
92,Tony Cafe,,"Cafe, Sandwich, Burger, Pizza, Fast Food, Chinese, Shake, Beverages",700,ahmedabad,testy food new amazing food test,neutral
93,Tony Cafe,,"Cafe, Sandwich, Burger, Pizza, Fast Food, Chinese, Shake, Beverages",700,ahmedabad,good,neutral
94,Tony Cafe,,"Cafe, Sandwich, Burger, Pizza, Fast Food, Chinese, Shake, Beverages",700,ahmedabad,best food place good dance place food test mumbai yummy best place naroda yummy,neutral
95,Cafe Kyzo,4.1,"Cafe, Coffee, Tea, Shake, Beverages, Sandwich, Burger, Fast Food",600,ahmedabad,burgers juicy crisp authentic tasty something searching definitely perfect combo fresh mocktails coffee loved,positive
96,The Avenue Cafe,3.6,"Cafe, Fast Food, Coffee, Beverages, Sandwich",600,ahmedabad,black plastic found chhole image attached,neutral
97,The Avenue Cafe,3.6,"Cafe, Fast Food, Coffee, Beverages, Sandwich",600,ahmedabad,best cafe town coffee amazing atmosphere cozy highly recommend,neutral
98,Ares Cafe,,"Cafe, Fast Food, Sandwich, Pizza, Wraps, Chinese, Shake, Beverages",700,ahmedabad,food quality good found paneer panini,neutral
99,Ares Cafe,,"Cafe, Fast Food, Sandwich, Pizza, Wraps, Chinese, Shake, Beverages",700,ahmedabad,food spilled bag similar review already given another customer days back zomato really care feedback formality,neutral
100,Veronica's,3.2,Cafe,"1,500",mumbai,feel place overhyped instagram nothing special different place like many menu similar many places food choice extremely poor beverage menu options food menu place really small seating system really bad made us sit two person table us refused give us person table sat pretty uncomfortably also rates expensive location taste food also basic average usually place expensive taste food good person read,neutral
101,Veronica's,3.2,Cafe,"1,500",mumbai,visited place family food good staff kept talking rudely loudly like us favour taking order later replaced normal polite guy hence please make note,neutral
102,Veronica's,3.2,Cafe,"1,500",mumbai,busted cold brew mess spoilt mean review love food takes away,neutral
103,Pune Baking Company - JW Marriott Pune,4.5,"Cafe, Sandwich, Desserts","1,300",pune,ordered chocolate milkshake chocolate frappe strawberry milkshake super dissatisfied disappointed super sweet really cold honestly much better done home really expect chocolate croissant butter croissant excellent though,positive
104,Pune Baking Company - JW Marriott Pune,4.5,"Cafe, Sandwich, Desserts","1,300",pune,looked good bakeries around pune reached ordered coffee berry frappe danish pastry coffee good dont remember name brew berry frappe worth rs consisted churned milk vanilla ice cream strawberry syrup whipped cream top think regular shakes available local joints tastes better uber sweet whatsoever poor attempt renowned hotel danish pastry another disappointment topped seemed like stale mango shrikhand cubes stale mango another bad outcome asked talk chef ultimately able would read,positive
105,Pune Baking Company - JW Marriott Pune,4.5,"Cafe, Sandwich, Desserts","1,300",pune,place one favourite upon become beyond pathetic blt sandwich one piece bacon one piece mini tomato time also faced issue quality inspite complaining taken action argue us everything right regular almost years really dreadful discontinue going place pass family friends well guys really sad see,positive
106,The Ritz-Carlton Tea Lounge: The Ritz-Carlton,4.3,"Cafe, Tea, Desserts","2,000",pune,tea lounge ground floor open hall area dress code none smart casuals work boys get shoes girls go heels sandals one definitely go tea buffet packages costs tax unlimited beverages tried teas menu personal fav blue earl grey mocchiato food unlimited though comes shown photo top layer finger sandwiches three types pieces opted three nonveg sandwiches present menu skipped ham replaced chicken sandwich next two layers sweet savoury one piece read,positive
107,The Ritz-Carlton Tea Lounge: The Ritz-Carlton,4.3,"Cafe, Tea, Desserts","2,000",pune,coffee midnight talks peace wonderful service comfort one experience addiction get rigid refusal coffee far gone,positive
108,The Ritz-Carlton Tea Lounge: The Ritz-Carlton,4.3,"Cafe, Tea, Desserts","2,000",pune,yummmmm,positive
109,The Ritz-Carlton Tea Lounge: The Ritz-Carlton,4.3,"Cafe, Tea, Desserts","2,000",pune,totally mesmerised ritz carlton tea lounge experience went weekday less crowded husband opted hi tea set buffet sense quality food taste aroma wide range coffee tea cold beverages service prompt super neat clean would love visit friends family,positive
110,The Ritz-Carlton Tea Lounge: The Ritz-Carlton,4.3,"Cafe, Tea, Desserts","2,000",pune,ordered cake got kheer disappointed plz secre cake dispatch delivery guys extra carefull cake,positive
111,Le Coffee House,3.7,Cafe,350,pune,ventilation air conditioning lemon soda tasted like laundry water stale shrunken fries god knows era cold coffee tasted like thinned mala chocolate syrup bread bash next far better option serves fresh fries,neutral
112,Le Coffee House,3.7,Cafe,350,pune,place town serve really good sandwich coffee le coffee house one thick coffee bombay grilled sandwich die really loved,neutral
113,Le Coffee House,3.7,Cafe,350,pune,best bombay grilled sandwich ever one must try nice beautiful ambience staff quite fast polite,neutral
114,Le Flamington,4.9,"Cafe, European",700,pune,review late put visited cafe july two sunday quite empty ordered signature ice dark amazing highly recommend wait back butter croissant amazing bombay sandwich chicken sandwich portion taste everything point black forest cake grey unbelievable best deserts ever took hand rolled belgian one chocolate freshly made takeaway amazing nice place wait back,positive
115,Le Flamington,4.9,"Cafe, European",700,pune,place main road ahead toit ambience nice light music decor nice well tables distance menu pretty decent service good food really good ordered le sandwich ham beef felt much bread layers filling went well side masala fries really good moc omlette nice fluffy good filing mushroom cheese olives sour dough cream cheese salad best thing called leaves mushroom olives cream cheese went well sour drinks called drinking read,positive
116,Le Flamington,4.9,"Cafe, European",700,pune,place small looks food good careful selecting vegan options though desserts must try,positive
117,Ventana,,"North Indian, European, Continental, Asian, Fast Food, Cafe, Coffee, Beverages","1,200",pune,visited ventana birthday celebration could better food ambience hospitality expectation definitely try butter garlic prawns pepper chicken place must visit looking cozy environment,neutral
118,Ventana,,"North Indian, European, Continental, Asian, Fast Food, Cafe, Coffee, Beverages","1,200",pune,favor visit lovely restaurant vimannagar service unmatched staff truly cares experience food absolutely amazing everything tasted melted mouths absolutely best meal highly recommend,neutral
119,Ventana,,"North Indian, European, Continental, Asian, Fast Food, Cafe, Coffee, Beverages","1,200",pune,favor visit lovely restaurant vimananagar service unmatched staff truly cares experience food absolutely amazing everything tasted melted mouths absolutely best meal highly recommend,neutral
120,Ventana,,"North Indian, European, Continental, Asian, Fast Food, Cafe, Coffee, Beverages","1,200",pune,excellent setup rooftop setting also covered airy artificial real plants around regarding food ordered cream veg soup jalapeno poppers asian garlic pepper sauce cottage cheese paneer lababdar pepper cottage cheese pizza arabbiata pasta walnut brownie ice cream great portion size also generous also ordered frappe caramel addition could little thicker least impressive lababdar pizza star show simply lip smacking also pocket friendly restaurant without compromising food quality,neutral
121,One O Eight Cafe,4.1,"Cafe, Pizza, Continental, Italian, Bakery, Beverages","1,200",pune,falafel dry maybe delivery takes little outer crust hard chewy inner portion okay less quantity little tweaks totally worth sort experience,positive
122,One O Eight Cafe,4.1,"Cafe, Pizza, Continental, Italian, Bakery, Beverages","1,200",pune,extremely salty edible,positive
123,The Chocolate Room,4.1,"Cafe, Shake, Beverages, Waffle, Bakery, Desserts, Italian, Mexican",850,pune,even know pack parcel complain say fault,positive
124,Tanoshii Cafe,3.9,"Cafe, Coffee, Shake, Beverages, Sandwich, Pasta, Fast Food",900,pune,came across hidden gem recently tanoshii cafe space super aesthetically pleasing cafe charges affordable starting beverages house love ambience cute boho themed decor tanoshii cafe also conference room meetings conferences terrace beautifully made gives homely feeling work hours good menu choose definitely try pasta lovely cafe beautiful peaceful vibe,neutral
125,Tanoshii Cafe,3.9,"Cafe, Coffee, Shake, Beverages, Sandwich, Pasta, Fast Food",900,pune,cafe co working space one place newest cafe plus co working space opened sb road pune ultimate business social gathering experience tanoshii means fun japanese space true name offers fun environment cozy co working space high speed beverages house charges start pretty huge conference room set meetings seminars events much variety options food forget washrooms pretty clean interiors warm comforting aesthetically read,neutral
126,Tanoshii Cafe,3.9,"Cafe, Coffee, Shake, Beverages, Sandwich, Pasta, Fast Food",900,pune,tanoshii cafe pune bustling cafe culture gets new aesthetic cafe coworking tanoshii cafe cafe located senapati bapat road offers serene comforting vibes ambience aesthetic gorgeous artistic talking unique space thoughtfully curated little details specially taken care also got many spots perfect clicking pictures perfect place events group meetings conference room well casual hangouts friends get hour pass day pass monthly pass work internet read,neutral
127,Tanoshii Cafe,3.9,"Cafe, Coffee, Shake, Beverages, Sandwich, Pasta, Fast Food",900,pune,peaceful cozy atmosphere staff welcoming service perfect delays complaints try variety crossaints cheesecakes enthusiastic calm space,neutral
128,Tanoshii Cafe,3.9,"Cafe, Coffee, Shake, Beverages, Sandwich, Pasta, Fast Food",900,pune,tanoshii nested beautiful lanes model colony cafe space serene space aesthetics feel like home vibes keep coming back cafe ample space work chill beautiful terrace conference room much experience,neutral
129,One World - The Coffee Studio,4.0,"Cafe, Coffee, Tea, Salad, Fast Food, Desserts","1,300",pune,best food quality best service shruti,positive
130,One World - The Coffee Studio,4.0,"Cafe, Coffee, Tea, Salad, Fast Food, Desserts","1,300",pune,nice place really loved helpfull staff yummy recommend rose kissed latte sandwich,positive
131,One World - The Coffee Studio,4.0,"Cafe, Coffee, Tea, Salad, Fast Food, Desserts","1,300",pune,place amazing offered best coffee showed best attitude costumers visited family great time also place perfect studying chilling quiet air conditioned fast unlimited internet,positive
132,One World - The Coffee Studio,4.0,"Cafe, Coffee, Tea, Salad, Fast Food, Desserts","1,300",pune,nice place enjoy coffee tea cakes friends open late night place amazing ambience good polite staff amazing coffee options must try chocolate orange cake,positive
133,One World - The Coffee Studio,4.0,"Cafe, Coffee, Tea, Salad, Fast Food, Desserts","1,300",pune,desserts excellent coffee ambience pure class setup worth visit,positive
134,Back To Basics,2.8,"Cafe, Coffee, Beverages, Sandwich, Fast Food, Healthy Food, Desserts",700,pune,food food food best ambience best loved cafe set must visit place try different kind food dessert,neutral
135,Back To Basics,2.8,"Cafe, Coffee, Beverages, Sandwich, Fast Food, Healthy Food, Desserts",700,pune,good authentic food dessert corner wadgoan sheri one easily enjoy place considering location bt must go love quantity also good,neutral
136,Back To Basics,2.8,"Cafe, Coffee, Beverages, Sandwich, Fast Food, Healthy Food, Desserts",700,pune,great cafetheir breads amazing quality quantity really feel goodness whole wheat ragi favourite place great polite staff keep great work,neutral
137,Jamie's Pizzeria By Jamie Oliver,3.7,"Cafe, Coffee, Salad, Fast Food, Pizza, Italian, Desserts, Beverages",700,pune,pizza fine crispy seafood quality consistent sometime great today much,neutral
138,Jamie's Pizzeria By Jamie Oliver,3.7,"Cafe, Coffee, Salad, Fast Food, Pizza, Italian, Desserts, Beverages",700,pune,good n tasty due traffic guess pizza warm,neutral
139,Jamie's Pizzeria By Jamie Oliver,3.7,"Cafe, Coffee, Salad, Fast Food, Pizza, Italian, Desserts, Beverages",700,pune,worst delivery experience pizza smashed destroyed,neutral
